base_id,n_rules,n_ra,n_si,n_cx,n_top,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,rules
42,13,2,3,2,6,0.9094,0.0324,0.9177,0.0419,0.9669,0.8733,6,0.188,"RA:AG16,A2|SI:BG2,BG8,B4|CX:CG2,C5|TOP:TG9,TG14,TG16,T2,T4,T5"
64,16,4,4,3,5,0.905,0.0237,0.9068,0.0305,0.9145,0.8993,9,0.281,"RA:AG1,AG12,AG16,A3|SI:BG2,BG8,B2,B3|CX:C2,C3,C5|TOP:TG16,TG19,T4,T5,T8"
56,15,4,4,3,4,0.9045,0.024,0.9065,0.031,0.915,0.8981,9,0.29,"RA:AG1,AG12,AG16,A3|SI:BG2,BG8,B3,B4|CX:C2,C3,C5|TOP:TG19,T2,T4,T5"
43,14,5,3,2,4,0.9027,0.0252,0.9027,0.0337,0.9155,0.8902,8,0.258,"RA:AG1,AG13,AG16,A3,A6|SI:BG2,BG8,B4|CX:C2,C5|TOP:TG24,T2,T4,T5"
54,13,5,4,2,2,0.9015,0.0249,0.9021,0.0331,0.913,0.8916,8,0.267,"RA:AG1,AG8,AG16,A3,A6|SI:BG2,BG8,B1,B4|CX:C2,C5|TOP:T4,T5"
31,13,3,3,2,5,0.9077,0.0277,0.9,0.0376,0.9213,0.8796,6,0.188,"RA:AG1,AG16,A3|SI:BG2,BG5,BG8|CX:C3,C5|TOP:TG16,TG19,T2,T4,T5"
6,18,3,4,2,9,0.9119,0.0279,0.8976,0.0403,0.9243,0.8725,11,0.344,"RA:AG1,AG16,A3|SI:BG7,B1,B3,B4|CX:C2,C5|TOP:TG9,TG14,TG16,TG19,T2,T4,T5,T7,T8"
2,14,3,5,1,5,0.9137,0.0329,0.8952,0.0447,0.9317,0.8615,5,0.147,"RA:AG1,AG16,A3|SI:BG2,BG5,BG8,B1,B4|CX:C5|TOP:TG9,TG14,TG16,TG19,T5"
60,14,4,4,1,5,0.9063,0.0275,0.8949,0.0372,0.9109,0.8795,7,0.219,"RA:AG1,AG16,A3,A4|SI:BG2,BG5,BG8,B1|CX:C3|TOP:TG16,TG19,T2,T4,T5"
1,19,3,5,2,9,0.9156,0.0301,0.8944,0.0438,0.9277,0.8634,11,0.333,"RA:AG1,AG16,A3|SI:BG5,BG7,B1,B3,B4|CX:C2,C5|TOP:TG9,TG14,TG16,TG19,T2,T4,T5,T7,T8"
41,12,4,4,1,3,0.9091,0.031,0.8941,0.0414,0.9208,0.8689,6,0.194,"RA:AG1,AG16,A3,A6|SI:BG2,BG8,B1,B4|CX:C5|TOP:TG14,TG16,T5"
65,15,3,4,1,7,0.9145,0.0304,0.8937,0.0442,0.9276,0.8622,7,0.212,"RA:AG1,AG16,A3|SI:BG2,BG5,BG8,B4|CX:C5|TOP:TG9,TG14,TG19,T1,T2,T5,T8"
12,22,5,6,2,9,0.9103,0.023,0.8767,0.032,0.8644,0.8895,10,0.27,"RA:AG1,AG4,AG20,AG23,A2|SI:BG2,BG4,BG7,B1,B3,B4|CX:C2,C5|TOP:TG9,TG10,TG14,TG16,TG22,T2,T4,T5,T8"
61,15,3,4,3,5,0.8948,0.0182,0.8743,0.0218,0.8335,0.9192,8,0.25,"RA:AG1,AG12,AG16|SI:BG2,BG8,B3,B4|CX:C2,C3,C5|TOP:TG4,TG19,T2,T4,T5"
70,13,3,4,2,4,0.8944,0.0184,0.874,0.0222,0.8338,0.9182,7,0.226,"RA:AG1,AG12,AG16|SI:BG2,BG8,B3,B4|CX:C3,C5|TOP:TG19,T2,T4,T5"
38,16,2,7,1,6,0.8961,0.0197,0.8723,0.0244,0.8368,0.911,8,0.242,"RA:AG1,AG16|SI:BG1,BG2,BG5,BG7,B1,B3,B4|CX:C5|TOP:TG9,TG19,T2,T4,T5,T7"
