base_id,n_rules,n_ra,n_si,n_cx,n_top,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,rules
55,19,5,4,2,8,0.8422,0.0038,0.978,0.0026,0.9689,0.9873,8,0.222,"RA:AG1,AG3,AG6,AG19,A2|SI:BG4,BG6,B2,B3|CX:CG2,C5|TOP:TG9,TG10,TG15,TG21,T2,T4,T7,T8"
73,20,2,5,4,9,0.8278,0.0037,0.9773,0.002,0.965,0.99,9,0.25,"RA:AG1,A2|SI:BG4,BG6,B2,B3,B5|CX:CG2,CG3,C3,C5|TOP:TG2,TG9,TG15,TG17,TG18,TG21,T3,T4,T5"
35,16,5,5,2,4,0.7693,0.0023,0.977,0.0009,0.9595,0.9952,6,0.171,"RA:AG1,AG11,AG15,AG23,A2|SI:BG4,BG6,B1,B2,B3|CX:CG2,C5|TOP:TG9,TG15,TG21,T8"
66,21,7,4,3,7,0.7669,0.0018,0.9768,0.0003,0.9558,0.9987,8,0.211,"RA:AG1,AG9,AG13,AG26,AG27,A2,A6|SI:BG4,BG6,B1,B3|CX:CG2,C4,C5|TOP:TG3,TG9,TG12,TG15,TG21,T3,T5"
28,26,3,4,6,13,0.8485,0.0041,0.9763,0.0031,0.9681,0.9846,13,0.342,"RA:AG1,A2,A6|SI:BG4,BG6,B2,B3|CX:CG2,CG3,C1,C3,C4,C5|TOP:TG9,TG12,TG13,TG15,TG17,TG18,TG21,TG24,T3,T4,T5,T7,T8"
27,28,7,4,5,12,0.8505,0.0046,0.9748,0.0035,0.9671,0.9825,12,0.293,"RA:AG1,AG23,AG26,AG28,A2,A3,A6|SI:BG4,BG6,B2,B3|CX:CG2,CG3,C1,C3,C5|TOP:TG9,TG10,TG12,TG13,TG15,TG18,TG21,TG24,T3,T4,T5,T8"
14,23,4,6,2,11,0.7399,0.0014,0.9747,0.0004,0.9527,0.9977,12,0.333,"RA:AG1,AG19,A1,A2|SI:BG4,BG6,B1,B2,B3,B5|CX:CG2,C5|TOP:TG9,TG10,TG12,TG15,TG17,TG21,T1,T4,T6,T7,T8"
74,23,5,3,4,11,0.8544,0.0056,0.9739,0.0039,0.9674,0.9805,8,0.2,"RA:AG1,AG6,AG23,A2,A6|SI:BG4,BG6,B3|CX:CG2,CG3,C3,C5|TOP:TG9,TG11,TG12,TG13,TG15,TG18,TG21,TG24,T4,T5,T7"
48,19,4,5,1,9,0.8063,0.0027,0.973,0.002,0.9567,0.9898,10,0.294,"RA:AG1,AG19,A1,A2|SI:BG4,BG6,B2,B3,B5|CX:C5|TOP:TG9,TG10,TG12,TG15,TG21,T4,T6,T7,T8"
6,20,5,3,3,9,0.8507,0.006,0.973,0.005,0.9705,0.9755,7,0.184,"RA:AG1,AG6,AG28,A2,A3|SI:BG4,BG6,B3|CX:CG2,C2,C5|TOP:TG2,TG9,TG12,TG15,TG17,TG21,TG24,T4,T5"
20,24,4,4,4,12,0.8473,0.0048,0.9729,0.0035,0.9633,0.9827,12,0.324,"RA:AG1,AG6,A2,A6|SI:BG4,BG6,B3,B5|CX:CG2,C1,C4,C5|TOP:TG2,TG9,TG13,TG15,TG17,TG18,TG24,T2,T3,T4,T5,T7"
7,19,2,5,2,10,0.8488,0.0094,0.9694,0.0094,0.9838,0.9554,10,0.294,"RA:AG1,A2|SI:BG4,BG6,B2,B3,B4|CX:C2,C5|TOP:TG2,TG9,TG12,TG15,TG21,TG24,T4,T5,T6,T7"
34,17,4,4,1,8,0.8514,0.0095,0.9617,0.009,0.9673,0.9561,8,0.235,"RA:AG1,AG6,AG19,A2|SI:BG4,BG6,B2,B3|CX:C5|TOP:TG9,TG10,TG15,TG21,T2,T4,T7,T8"
62,20,5,3,2,10,0.8527,0.0098,0.9602,0.0098,0.968,0.9525,8,0.216,"RA:AG1,AG6,AG28,A2,A3|SI:BG4,BG6,B3|CX:C2,C5|TOP:TG2,TG9,TG12,TG15,TG17,TG21,TG24,T4,T5,T7"
45,15,4,3,1,7,0.8478,0.0108,0.9577,0.0104,0.9656,0.95,6,0.176,"RA:AG1,AG6,AG15,A2|SI:BG4,BG6,B3|CX:C5|TOP:TG9,TG15,TG18,TG21,T2,T4,T8"
40,19,6,5,1,7,0.8546,0.0118,0.9457,0.0139,0.9582,0.9335,11,0.333,"RA:AG11,AG28,A1,A2,A3,A6|SI:BG4,BG6,B2,B3,B5|CX:C5|TOP:TG1,TG10,TG12,TG23,T3,T4,T5"
63,19,7,5,1,6,0.8546,0.0118,0.9457,0.0139,0.9582,0.9335,11,0.333,"RA:AG11,AG26,AG28,A1,A2,A3,A6|SI:BG4,BG6,B2,B3,B5|CX:C5|TOP:TG1,TG10,TG23,T3,T4,T5"
31,26,4,4,5,13,0.7821,0.0026,0.9404,0.0012,0.8926,0.9936,13,0.342,"RA:AG1,AG16,A1,A2|SI:BG4,BG6,B3,B5|CX:CG3,C1,C3,C4,C5|TOP:TG9,TG11,TG13,TG15,TG17,TG18,TG21,TG24,T3,T4,T5,T7,T8"
65,19,6,4,2,7,0.8829,0.0167,0.929,0.0228,0.9644,0.8962,10,0.294,"RA:AG11,AG15,A1,A2,A3,A6|SI:BG4,BG6,B3,B5|CX:CG1,C5|TOP:TG1,TG2,TG17,TG23,T3,T4,T5"
58,12,2,3,2,5,0.6674,0.0009,0.9276,0.0,0.8651,0.9999,6,0.194,"RA:AG1,A1|SI:BG6,B3,B5|CX:CG2,C5|TOP:TG9,TG16,TG21,T4,T5"
