base_id,n_rules,n_ra,n_si,n_cx,n_top,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,rules
62,16,3,4,2,7,0.7953,0.0054,0.8397,0.0031,0.7301,0.988,8,0.242,"RA:AG16,AG24,A2|SI:BG2,BG7,B1,B3|CX:CG3,C5|TOP:TG7,TG13,TG14,T2,T5,T6,T7"
21,26,9,6,3,8,0.8157,0.0065,0.8324,0.0042,0.7215,0.9836,12,0.308,"RA:AG3,AG20,AG22,AG24,AG26,A2,A3,A4,A6|SI:BG2,BG4,BG7,B1,B2,B3|CX:CG2,C4,C5|TOP:TG2,TG8,TG13,TG16,TG19,T2,T5,T8"
49,23,7,6,3,7,0.812,0.006,0.8309,0.0042,0.7191,0.9837,10,0.263,"RA:AG3,AG20,AG22,AG24,AG26,A2,A3|SI:BG2,BG4,B1,B2,B3,B4|CX:CG2,C4,C5|TOP:TG2,TG8,TG13,TG16,TG19,T2,T8"
53,12,1,3,4,4,0.7911,0.0128,0.7724,0.0156,0.657,0.9369,7,0.233,"RA:A2|SI:BG2,BG7,B3|CX:CG3,C2,C3,C5|TOP:TG9,TG13,T2,T5"
9,12,1,3,3,5,0.7888,0.0121,0.7715,0.0155,0.6556,0.9372,8,0.276,"RA:A2|SI:BG2,B1,B3|CX:CG3,C3,C5|TOP:TG7,TG13,T2,T5,T6"
36,18,5,5,2,6,0.7579,0.004,0.7677,0.003,0.6283,0.9867,6,0.162,"RA:AG3,AG16,AG20,AG26,A2|SI:BG2,BG4,BG7,B3,B4|CX:C3,C5|TOP:TG2,TG3,TG13,TG16,TG20,T5"
66,20,5,5,2,8,0.7828,0.0048,0.7588,0.0039,0.6181,0.9825,8,0.216,"RA:AG16,AG20,AG26,A2,A3|SI:BG2,BG4,BG7,B3,B4|CX:C4,C5|TOP:TG2,TG8,TG9,TG13,TG16,TG20,T5,T8"
2,29,10,6,2,11,0.7512,0.0035,0.7382,0.0029,0.5898,0.9864,12,0.286,"RA:AG3,AG10,AG14,AG19,AG20,AG22,AG24,AG26,A2,A3|SI:BG2,BG4,B1,B2,B3,B4|CX:C4,C5|TOP:TG2,TG4,TG13,TG14,TG16,TG19,TG20,T2,T4,T5,T8"
28,24,10,5,2,7,0.7494,0.0036,0.7381,0.0029,0.5896,0.9864,10,0.256,"RA:AG3,AG10,AG14,AG19,AG20,AG22,AG26,A1,A2,A4|SI:BG2,BG4,B1,B3,B4|CX:CG4,C5|TOP:TG7,TG13,TG16,TG20,T2,T5,T7"
27,28,9,7,4,8,0.776,0.0046,0.7242,0.004,0.5741,0.9807,13,0.325,"RA:AG3,AG14,AG19,AG20,AG24,AG26,A2,A4,A6|SI:BG2,BG4,BG7,B1,B2,B3,B4|CX:CG2,C3,C4,C5|TOP:TG1,TG2,TG8,TG13,TG16,T2,T5,T8"
31,19,5,5,2,7,0.7676,0.0046,0.6961,0.004,0.5399,0.9794,9,0.257,"RA:AG3,AG20,AG24,A2,A4|SI:BG2,BG4,BG7,B1,B3|CX:CG2,C5|TOP:TG8,TG13,TG20,T2,T5,T6,T7"
40,21,6,5,2,8,0.7594,0.0042,0.6926,0.004,0.5357,0.9795,12,0.353,"RA:AG3,AG19,AG20,AG22,A2,A3|SI:BG2,BG4,B1,B2,B3|CX:C4,C5|TOP:TG13,TG16,TG19,T2,T4,T5,T6,T8"
70,16,2,4,3,7,0.7386,0.0032,0.688,0.0028,0.5286,0.9849,7,0.206,"RA:AG16,A2|SI:BG2,BG4,B1,B3|CX:CG3,CG4,C5|TOP:TG1,TG2,TG13,TG16,T2,T5,T7"
