base_id,n_rules,expert_in_base,jaccard,expert_coverage
0,12,0,0.000,0.000
1,29,0,0.000,0.000
2,27,0,0.000,0.000
3,12,0,0.000,0.000
4,16,0,0.000,0.000
5,13,0,0.000,0.000
6,14,0,0.000,0.000
7,19,0,0.000,0.000
8,14,0,0.000,0.000
9,28,0,0.000,0.000
10,16,0,0.000,0.000
11,12,0,0.000,0.000
12,15,1,0.031,0.056
13,12,0,0.000,0.000
14,13,0,0.000,0.000
15,24,0,0.000,0.000
16,13,0,0.000,0.000
17,14,0,0.000,0.000
18,17,0,0.000,0.000
19,12,0,0.000,0.000
20,20,0,0.000,0.000
21,20,0,0.000,0.000
22,27,0,0.000,0.000
23,22,0,0.000,0.000
24,26,0,0.000,0.000
25,25,0,0.000,0.000
26,23,0,0.000,0.000
27,21,0,0.000,0.000
28,18,0,0.000,0.000
29,17,0,0.000,0.000
30,15,0,0.000,0.000
31,23,0,0.000,0.000
32,22,0,0.000,0.000
33,25,0,0.000,0.000
34,13,0,0.000,0.000
35,21,0,0.000,0.000
36,12,0,0.000,0.000
37,29,0,0.000,0.000
38,24,0,0.000,0.000
39,18,0,0.000,0.000
40,19,0,0.000,0.000
41,16,0,0.000,0.000
42,26,0,0.000,0.000
43,18,0,0.000,0.000
44,20,0,0.000,0.000
45,12,0,0.000,0.000
46,15,0,0.000,0.000
47,13,0,0.000,0.000
48,14,0,0.000,0.000
49,12,0,0.000,0.000
50,18,0,0.000,0.000
51,12,0,0.000,0.000
52,29,0,0.000,0.000
53,17,0,0.000,0.000
54,14,0,0.000,0.000
55,13,0,0.000,0.000
56,17,0,0.000,0.000
57,13,0,0.000,0.000
58,17,0,0.000,0.000
59,12,0,0.000,0.000
60,13,0,0.000,0.000
61,12,0,0.000,0.000
62,15,0,0.000,0.000
63,14,0,0.000,0.000
64,17,0,0.000,0.000
65,19,0,0.000,0.000
66,19,0,0.000,0.000
67,22,0,0.000,0.000
68,19,0,0.000,0.000
69,13,0,0.000,0.000
70,18,1,0.029,0.056
71,12,0,0.000,0.000
72,26,0,0.000,0.000
73,15,0,0.000,0.000
74,14,0,0.000,0.000
75,16,0,0.000,0.000
76,17,0,0.000,0.000
77,17,0,0.000,0.000
78,16,0,0.000,0.000
79,24,1,0.024,0.056
