base_id,n_rules,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,expert_coverage,rules
64,15,0.8754,0.0026,0.5484,0.0034,0.382,0.9713,0,0.0,0.0,G9(enum); G91(enum); G113(enum); G266(enum); G267(enum); G337(enum); G490(enum); G521(enum); G523(enum); G526(enum); G540(enum); G570(enum); G584(enum); G596(enum); G666(enum)
50,17,0.8351,0.0009,0.5391,0.0006,0.3697,0.9949,1,0.029,0.056,G9(enum); G40(enum); G91(enum); G135(enum); G204(enum); G256(enum); G266(enum); G273(enum); G351(enum); G419(enum); G431(enum); G490(enum); G520(enum); G532(enum); G540(enum); G678(wm); R6
67,19,0.8274,0.0009,0.4956,0.0003,0.3298,0.9965,1,0.028,0.056,G6(enum); G9(enum); G39(enum); G91(enum); G204(enum); G226(enum); G273(enum); G351(enum); G357(enum); G399(enum); G448(enum); G461(enum); G520(enum); G526(enum); G531(enum); G540(enum); G655(enum); G666(enum); R6
61,15,0.8176,0.0005,0.47,0.0003,0.3075,0.9969,2,0.065,0.111,G9(enum); G91(enum); G204(enum); G266(enum); G273(enum); G281(enum); G351(enum); G355(enum); G491(enum); G520(enum); G526(enum); G540(enum); G678(wm); R6; R9
51,16,0.7944,0.0004,0.4629,0.0003,0.3015,0.9964,2,0.062,0.111,G9(enum); G91(enum); G204(enum); G242(enum); G281(enum); G351(enum); G478(enum); G499(enum); G520(enum); G526(enum); G540(enum); G648(enum); G655(enum); G678(wm); R6; R9
14,18,0.8129,0.0004,0.4571,0.0003,0.2966,0.9968,2,0.059,0.111,G9(enum); G39(enum); G91(enum); G204(enum); G263(enum); G281(enum); G282(enum); G351(enum); G355(enum); G490(enum); G520(enum); G526(enum); G540(enum); G655(enum); G678(wm); G681(wm); R6; R9
20,20,0.8214,0.0005,0.4524,0.0003,0.2926,0.9968,2,0.056,0.111,G9(enum); G39(enum); G82(enum); G91(enum); G204(enum); G263(enum); G273(enum); G281(enum); G282(enum); G351(enum); G355(enum); G491(enum); G520(enum); G526(enum); G540(enum); G560(enum); G678(wm); G681(wm); R6; R9
77,12,0.815,0.0009,0.4522,0.0003,0.2925,0.9963,2,0.071,0.111,G9(enum); G91(enum); G113(enum); G204(enum); G266(enum); G273(enum); G351(enum); G526(enum); G540(enum); G568(enum); R6; R9
43,14,0.8067,0.0007,0.4399,0.0004,0.2824,0.9948,1,0.032,0.056,G9(enum); G37(enum); G91(enum); G204(enum); G231(enum); G232(enum); G266(enum); G269(enum); G273(enum); G411(enum); G526(enum); G540(enum); G678(wm); R6
62,12,0.8023,0.0006,0.4347,0.0003,0.278,0.9966,1,0.034,0.056,G9(enum); G91(enum); G203(enum); G204(enum); G266(enum); G273(enum); G351(enum); G491(enum); G526(enum); G540(enum); G678(wm); R6
56,13,0.8013,0.0004,0.4193,0.0002,0.2655,0.997,2,0.069,0.111,G9(enum); G91(enum); G204(enum); G266(enum); G281(enum); G300(enum); G351(enum); G526(enum); G540(enum); G648(enum); G678(wm); R6; R9
16,12,0.7894,0.0004,0.4089,0.0001,0.2571,0.9991,0,0.0,0.0,G9(enum); G91(enum); G204(enum); G266(enum); G273(enum); G351(enum); G419(enum); G431(enum); G490(enum); G520(enum); G540(enum); G578(enum)
10,17,0.7735,0.0002,0.3317,0.0002,0.199,0.9963,2,0.061,0.111,G9(enum); G91(enum); G204(enum); G262(enum); G281(enum); G351(enum); G355(enum); G409(enum); G520(enum); G526(enum); G532(enum); G540(enum); G542(enum); G655(enum); G678(wm); R6; R9
24,16,0.7933,0.0003,0.3217,0.0002,0.1918,0.9962,2,0.062,0.111,G9(enum); G80(enum); G91(enum); G204(enum); G266(enum); G281(enum); G351(enum); G355(enum); G491(enum); G526(enum); G540(enum); G542(enum); G678(wm); G681(wm); R6; R9
8,14,0.7472,0.0,0.3023,0.0002,0.1782,0.9959,2,0.067,0.111,G9(enum); G82(enum); G91(enum); G204(enum); G281(enum); G351(enum); G355(enum); G520(enum); G526(enum); G540(enum); G655(enum); G678(wm); R6; R9
40,17,0.7558,0.0,0.2988,0.0002,0.1758,0.9959,2,0.061,0.111,G9(enum); G91(enum); G204(enum); G281(enum); G282(enum); G351(enum); G355(enum); G490(enum); G520(enum); G526(enum); G532(enum); G540(enum); G622(enum); G655(enum); G678(wm); R6; R9
48,12,0.7603,0.0002,0.2614,0.0002,0.1504,0.9952,2,0.071,0.111,G9(enum); G91(enum); G204(enum); G351(enum); G448(enum); G520(enum); G526(enum); G540(enum); G655(enum); G678(wm); R6; R9
9,13,0.7302,0.0,0.2593,0.0002,0.1491,0.9951,2,0.069,0.111,G9(enum); G91(enum); G204(enum); G281(enum); G351(enum); G355(enum); G520(enum); G526(enum); G540(enum); G648(enum); G678(wm); R6; R9
42,12,0.7639,0.0003,0.2521,0.0002,0.1444,0.995,2,0.071,0.111,G9(enum); G91(enum); G167(enum); G204(enum); G242(enum); G281(enum); G520(enum); G526(enum); G540(enum); G678(wm); R6; R9
2,12,0.718,0.0,0.2267,0.0002,0.128,0.9943,2,0.071,0.111,G9(enum); G91(enum); G204(enum); G281(enum); G351(enum); G520(enum); G526(enum); G540(enum); G648(enum); G678(wm); R6; R9
