base_id,n_rules,expert_in_base,jaccard,expert_coverage
0,1,0,0.000,0.000
1,5,0,0.000,0.000
2,1,0,0.000,0.000
3,28,0,0.000,0.000
4,3,1,0.050,0.056
5,2,0,0.000,0.000
6,25,0,0.000,0.000
7,7,1,0.042,0.056
8,2,1,0.053,0.056
9,3,0,0.000,0.000
10,2,0,0.000,0.000
11,9,1,0.038,0.056
12,27,0,0.000,0.000
13,1,1,0.056,0.056
14,6,0,0.000,0.000
15,7,2,0.087,0.111
16,6,1,0.043,0.056
17,12,1,0.034,0.056
18,4,1,0.048,0.056
19,23,0,0.000,0.000
20,5,0,0.000,0.000
21,6,1,0.043,0.056
22,6,1,0.043,0.056
23,4,0,0.000,0.000
24,2,0,0.000,0.000
25,21,0,0.000,0.000
26,2,0,0.000,0.000
27,10,0,0.000,0.000
28,13,0,0.000,0.000
29,2,1,0.053,0.056
30,10,1,0.037,0.056
31,4,0,0.000,0.000
32,11,1,0.036,0.056
33,14,0,0.000,0.000
34,14,0,0.000,0.000
35,8,0,0.000,0.000
36,13,0,0.000,0.000
37,21,2,0.054,0.111
38,12,0,0.000,0.000
39,1,0,0.000,0.000
40,22,0,0.000,0.000
41,17,0,0.000,0.000
42,5,0,0.000,0.000
43,3,1,0.050,0.056
44,19,1,0.028,0.056
45,23,0,0.000,0.000
46,19,0,0.000,0.000
47,3,0,0.000,0.000
48,4,0,0.000,0.000
49,18,0,0.000,0.000
50,2,0,0.000,0.000
51,15,0,0.000,0.000
52,16,0,0.000,0.000
53,17,0,0.000,0.000
54,20,0,0.000,0.000
55,8,0,0.000,0.000
56,4,1,0.048,0.056
57,15,0,0.000,0.000
58,18,0,0.000,0.000
59,16,0,0.000,0.000
60,11,0,0.000,0.000
61,8,1,0.040,0.056
62,20,0,0.000,0.000
63,9,0,0.000,0.000
64,22,0,0.000,0.000
65,11,1,0.036,0.056
66,8,0,0.000,0.000
67,6,0,0.000,0.000
68,5,1,0.045,0.056
69,10,0,0.000,0.000
70,9,2,0.080,0.111
71,9,0,0.000,0.000
72,2,0,0.000,0.000
73,7,1,0.042,0.056
74,5,1,0.045,0.056
75,2,0,0.000,0.000
76,6,1,0.043,0.056
77,10,1,0.037,0.056
78,5,1,0.045,0.056
79,2,1,0.053,0.056
80,12,1,0.034,0.056
81,4,1,0.048,0.056
82,2,0,0.000,0.000
83,10,0,0.000,0.000
84,4,0,0.000,0.000
85,7,0,0.000,0.000
86,6,1,0.043,0.056
87,3,1,0.050,0.056
88,5,0,0.000,0.000
89,8,0,0.000,0.000
90,2,0,0.000,0.000
91,6,1,0.043,0.056
92,6,0,0.000,0.000
93,16,0,0.000,0.000
94,5,1,0.045,0.056
95,8,0,0.000,0.000
96,16,0,0.000,0.000
97,11,0,0.000,0.000
98,3,0,0.000,0.000
99,6,0,0.000,0.000
100,3,1,0.050,0.056
101,12,1,0.034,0.056
102,8,1,0.040,0.056
103,5,1,0.045,0.056
104,6,0,0.000,0.000
105,5,0,0.000,0.000
106,8,2,0.083,0.111
107,11,0,0.000,0.000
108,12,0,0.000,0.000
109,11,0,0.000,0.000
110,17,0,0.000,0.000
111,1,1,0.056,0.056
112,17,0,0.000,0.000
113,10,0,0.000,0.000
114,7,0,0.000,0.000
115,9,1,0.038,0.056
116,6,1,0.043,0.056
117,22,0,0.000,0.000
118,10,0,0.000,0.000
119,12,0,0.000,0.000
