base_id,n_rules,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,expert_coverage,rules
61,16,0.9084,0.0264,0.9406,0.0281,0.9532,0.9283,0,0.0,0.0,G40(enum); G106(enum); G143(enum); G183(enum); G239(enum); G242(enum); G269(enum); G283(enum); G289(enum); G337(enum); G482(enum); G500(enum); G507(enum); G520(enum); G594(enum); G625(enum)
78,16,0.9115,0.0267,0.9404,0.0286,0.954,0.9272,0,0.0,0.0,G40(enum); G106(enum); G143(enum); G239(enum); G242(enum); G269(enum); G283(enum); G337(enum); G357(enum); G482(enum); G500(enum); G507(enum); G520(enum); G594(enum); G620(enum); G625(enum)
23,18,0.9142,0.0277,0.9396,0.03,0.9557,0.924,0,0.0,0.0,G40(enum); G106(enum); G183(enum); G202(enum); G214(enum); G243(enum); G254(enum); G289(enum); G326(enum); G329(enum); G337(enum); G357(enum); G492(enum); G502(enum); G507(enum); G520(enum); G594(enum); G620(enum)
0,25,0.9159,0.0284,0.9388,0.0313,0.9572,0.9211,0,0.0,0.0,G40(enum); G44(enum); G77(enum); G106(enum); G183(enum); G202(enum); G203(enum); G209(enum); G214(enum); G243(enum); G254(enum); G258(enum); G259(enum); G289(enum); G309(enum); G326(enum); G337(enum); G357(enum); G421(enum); G502(enum); G507(enum); G508(enum); G520(enum); G594(enum); G620(enum)
16,19,0.9156,0.0284,0.9382,0.0313,0.9561,0.921,0,0.0,0.0,G40(enum); G44(enum); G77(enum); G106(enum); G183(enum); G202(enum); G209(enum); G214(enum); G243(enum); G254(enum); G326(enum); G337(enum); G357(enum); G421(enum); G502(enum); G507(enum); G520(enum); G594(enum); G620(enum)
5,13,0.903,0.0299,0.9351,0.0332,0.9544,0.9166,0,0.0,0.0,G104(enum); G106(enum); G183(enum); G214(enum); G243(enum); G367(enum); G508(enum); G520(enum); G539(enum); G594(enum); G608(enum); G620(enum); G632(enum)
41,26,0.9127,0.0238,0.935,0.0222,0.9289,0.941,0,0.0,0.0,G5(enum); G97(enum); G106(enum); G183(enum); G202(enum); G214(enum); G222(enum); G224(enum); G243(enum); G254(enum); G266(enum); G269(enum); G283(enum); G290(enum); G296(enum); G335(enum); G357(enum); G381(enum); G388(enum); G482(enum); G492(enum); G504(enum); G507(enum); G520(enum); G523(enum); G620(enum)
1,12,0.9049,0.0349,0.9341,0.0392,0.9663,0.904,0,0.0,0.0,G104(enum); G106(enum); G183(enum); G239(enum); G243(enum); G357(enum); G507(enum); G508(enum); G524(enum); G539(enum); G594(enum); G632(enum)
52,13,0.9016,0.0297,0.9331,0.0331,0.9503,0.9165,0,0.0,0.0,G104(enum); G106(enum); G183(enum); G243(enum); G254(enum); G335(enum); G367(enum); G508(enum); G520(enum); G539(enum); G594(enum); G608(enum); G632(enum)
29,20,0.9116,0.0254,0.9303,0.0246,0.9257,0.935,0,0.0,0.0,G5(enum); G44(enum); G97(enum); G106(enum); G239(enum); G243(enum); G254(enum); G259(enum); G266(enum); G290(enum); G322(enum); G323(enum); G335(enum); G357(enum); G381(enum); G482(enum); G492(enum); G503(enum); G520(enum); G530(enum)
67,15,0.9075,0.0272,0.9291,0.0288,0.933,0.9253,0,0.0,0.0,G106(enum); G183(enum); G209(enum); G214(enum); G242(enum); G290(enum); G303(enum); G482(enum); G507(enum); G508(enum); G520(enum); G539(enum); G593(enum); G594(enum); G608(enum)
17,28,0.9127,0.0232,0.9284,0.0247,0.9225,0.9345,0,0.0,0.0,G5(enum); G14(enum); G88(enum); G97(enum); G106(enum); G183(enum); G202(enum); G214(enum); G243(enum); G254(enum); G266(enum); G269(enum); G283(enum); G290(enum); G292(enum); G335(enum); G339(enum); G357(enum); G381(enum); G388(enum); G401(enum); G482(enum); G507(enum); G523(enum); G539(enum); G594(enum); G619(enum); G620(enum)
58,14,0.9071,0.0227,0.9257,0.0214,0.9099,0.9421,0,0.0,0.0,G106(enum); G183(enum); G239(enum); G242(enum); G243(enum); G269(enum); G283(enum); G289(enum); G382(enum); G482(enum); G507(enum); G508(enum); G520(enum); G625(enum)
47,19,0.9109,0.0254,0.9242,0.0246,0.9145,0.9342,0,0.0,0.0,G5(enum); G44(enum); G97(enum); G106(enum); G239(enum); G243(enum); G254(enum); G259(enum); G266(enum); G290(enum); G323(enum); G335(enum); G357(enum); G381(enum); G482(enum); G492(enum); G503(enum); G520(enum); G530(enum)
71,26,0.911,0.0219,0.9231,0.0206,0.9035,0.9436,0,0.0,0.0,G5(enum); G44(enum); G97(enum); G106(enum); G183(enum); G202(enum); G222(enum); G224(enum); G239(enum); G243(enum); G254(enum); G259(enum); G266(enum); G269(enum); G283(enum); G290(enum); G335(enum); G357(enum); G381(enum); G388(enum); G480(enum); G482(enum); G492(enum); G507(enum); G520(enum); G620(enum)
20,15,0.9063,0.0141,0.8875,0.0171,0.8334,0.9491,0,0.0,0.0,G106(enum); G143(enum); G215(enum); G239(enum); G242(enum); G243(enum); G269(enum); G289(enum); G482(enum); G487(enum); G507(enum); G508(enum); G520(enum); G594(enum); G625(enum)
4,14,0.9036,0.016,0.8858,0.0187,0.8339,0.9446,0,0.0,0.0,G77(enum); G106(enum); G183(enum); G214(enum); G243(enum); G258(enum); G269(enum); G289(enum); G503(enum); G507(enum); G508(enum); G520(enum); G564(enum); G594(enum)
66,18,0.9094,0.0153,0.8854,0.0191,0.834,0.9435,0,0.0,0.0,G40(enum); G106(enum); G183(enum); G202(enum); G214(enum); G243(enum); G254(enum); G259(enum); G269(enum); G289(enum); G357(enum); G437(enum); G507(enum); G508(enum); G520(enum); G539(enum); G594(enum); G620(enum)
34,19,0.9086,0.0153,0.8847,0.0191,0.8328,0.9435,0,0.0,0.0,G40(enum); G106(enum); G145(enum); G183(enum); G202(enum); G214(enum); G243(enum); G254(enum); G259(enum); G269(enum); G289(enum); G357(enum); G437(enum); G507(enum); G508(enum); G520(enum); G539(enum); G594(enum); G620(enum)
74,13,0.8993,0.0139,0.8757,0.0168,0.8132,0.9486,0,0.0,0.0,G106(enum); G143(enum); G183(enum); G239(enum); G242(enum); G263(enum); G289(enum); G357(enum); G500(enum); G507(enum); G520(enum); G539(enum); G594(enum)
6,12,0.9012,0.0217,0.8754,0.026,0.8314,0.9243,0,0.0,0.0,G106(enum); G216(enum); G225(enum); G239(enum); G242(enum); G269(enum); G289(enum); G482(enum); G507(enum); G520(enum); G593(enum); G625(enum)
64,13,0.8994,0.0147,0.8678,0.0183,0.8033,0.9437,0,0.0,0.0,G77(enum); G106(enum); G183(enum); G214(enum); G243(enum); G289(enum); G357(enum); G482(enum); G502(enum); G508(enum); G520(enum); G539(enum); G593(enum)
43,23,0.908,0.0077,0.8441,0.0098,0.7491,0.9668,2,0.051,0.111,G5(enum); G36(enum); G44(enum); G106(enum); G164(enum); G243(enum); G254(enum); G266(enum); G269(enum); G290(enum); G292(enum); G335(enum); G357(enum); G381(enum); G401(enum); G482(enum); G497(enum); G503(enum); G530(enum); G539(enum); G627(enum); R5; R6
37,22,0.9051,0.0053,0.842,0.0073,0.741,0.9749,0,0.0,0.0,G5(enum); G40(enum); G106(enum); G183(enum); G197(enum); G214(enum); G239(enum); G243(enum); G258(enum); G259(enum); G266(enum); G269(enum); G290(enum); G337(enum); G357(enum); G482(enum); G497(enum); G507(enum); G520(enum); G589(enum); G594(enum); G625(enum)
14,21,0.9072,0.0064,0.8415,0.0082,0.742,0.9718,0,0.0,0.0,G5(enum); G106(enum); G164(enum); G202(enum); G214(enum); G243(enum); G254(enum); G258(enum); G266(enum); G269(enum); G290(enum); G292(enum); G335(enum); G357(enum); G401(enum); G482(enum); G497(enum); G507(enum); G520(enum); G589(enum); G594(enum)
53,15,0.8962,0.0101,0.839,0.0147,0.7503,0.9513,0,0.0,0.0,G106(enum); G143(enum); G183(enum); G233(enum); G239(enum); G242(enum); G243(enum); G269(enum); G357(enum); G507(enum); G524(enum); G539(enum); G594(enum); G620(enum); G632(enum)
44,13,0.899,0.0109,0.8377,0.016,0.7509,0.9472,0,0.0,0.0,G106(enum); G164(enum); G183(enum); G209(enum); G242(enum); G254(enum); G269(enum); G357(enum); G482(enum); G492(enum); G508(enum); G520(enum); G594(enum)
