base_id,n_rules,n_ra,n_si,n_cx,n_top,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,rules
33,15,3,2,3,7,0.8929,0.0171,0.8945,0.0174,0.8604,0.9313,9,0.29,"RA:AG16,A1,A2|SI:BG6,B3|CX:CG3,C4,C5|TOP:TG3,TG9,TG15,T2,T3,T4,T5"
78,19,6,2,3,8,0.8918,0.0154,0.8924,0.0151,0.85,0.9391,10,0.294,"RA:AG1,AG16,AG27,AG29,A1,A2|SI:BG2,B3|CX:CG2,C4,C5|TOP:TG3,TG9,TG15,T2,T3,T4,T5,T6"
104,12,4,3,2,3,0.8894,0.0185,0.8911,0.0187,0.8583,0.9266,7,0.233,"RA:AG1,AG5,A4,A5|SI:BG2,BG7,B1|CX:C3,C5|TOP:TG9,T4,T5"
97,12,2,3,2,5,0.8862,0.0179,0.8888,0.0183,0.8533,0.9274,6,0.194,"RA:AG9,AG19|SI:BG2,B1,B3|CX:C4,C5|TOP:TG2,TG9,TG15,T4,T5"
107,28,11,3,2,12,0.8886,0.0045,0.8884,0.0046,0.8125,0.9799,12,0.293,"RA:AG1,AG6,AG10,AG14,AG16,AG19,AG25,AG29,A1,A2,A6|SI:BG6,B3,B4|CX:C4,C5|TOP:TG1,TG2,TG3,TG9,TG12,TG13,TG15,T2,T3,T4,T5,T6"
110,20,9,2,2,7,0.8845,0.0151,0.8872,0.015,0.8409,0.9389,8,0.216,"RA:AG1,AG3,AG6,AG8,AG9,AG16,AG19,A1,A2|SI:BG6,B3|CX:CG4,C5|TOP:TG3,TG9,TG15,T2,T3,T4,T5"
10,19,7,2,2,8,0.8843,0.0151,0.8871,0.015,0.8407,0.9389,8,0.222,"RA:AG1,AG6,AG9,AG16,AG19,A1,A2|SI:BG6,B3|CX:CG4,C5|TOP:TG1,TG3,TG9,TG15,T2,T3,T4,T5"
66,23,8,3,2,10,0.8875,0.005,0.8868,0.0052,0.8117,0.9772,11,0.297,"RA:AG6,AG19,AG20,AG23,AG29,A1,A2,A6|SI:BG2,BG6,B3|CX:CG2,C5|TOP:TG3,TG9,TG13,TG15,T2,T3,T4,T5,T6,T8"
40,28,13,3,2,10,0.8872,0.0043,0.8866,0.0044,0.809,0.9806,14,0.359,"RA:AG1,AG6,AG10,AG14,AG16,AG19,AG25,AG29,A1,A2,A4,A5,A6|SI:BG6,B3,B4|CX:C4,C5|TOP:TG1,TG3,TG9,TG13,TG15,T2,T3,T4,T5,T6"
39,24,9,4,2,9,0.8829,0.0039,0.8838,0.0037,0.8025,0.9835,12,0.324,"RA:AG1,AG6,AG9,AG10,AG16,AG19,A1,A2,A4|SI:BG2,BG6,B3,B4|CX:C4,C5|TOP:TG1,TG3,TG9,TG15,T2,T3,T4,T5,T6"
