base_id,n_rules,n_ra,n_si,n_cx,n_top,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,rules
27,12,2,2,4,4,0.9026,0.0338,0.9432,0.0347,0.9738,0.9146,7,0.233,"RA:AG7,A2|SI:BG2,B3|CX:CG3,C1,C4,C5|TOP:TG2,TG15,T2,T5"
10,14,3,2,3,6,0.9039,0.0344,0.9412,0.0365,0.9738,0.9106,8,0.258,"RA:AG21,A2,A4|SI:BG2,B3|CX:C1,C2,C5|TOP:TG2,TG12,TG15,TG24,T4,T8"
1,12,2,4,2,4,0.9049,0.0361,0.9391,0.0379,0.9731,0.9074,7,0.233,"RA:A2,A6|SI:BG2,BG5,BG7,B3|CX:C4,C5|TOP:TG2,TG15,T2,T4"
54,13,3,4,4,2,0.897,0.0232,0.9363,0.0216,0.93,0.9426,6,0.188,"RA:AG7,AG14,A3|SI:BG2,BG7,B2,B3|CX:CG3,CG4,C4,C5|TOP:TG9,T4"
52,17,4,4,4,5,0.898,0.0233,0.936,0.0219,0.93,0.942,10,0.312,"RA:AG7,AG14,A3,A4|SI:BG2,BG7,B2,B3|CX:CG3,CG4,C2,C5|TOP:TG15,T2,T4,T5,T7"
28,12,1,3,3,5,0.9022,0.0307,0.9354,0.0332,0.9551,0.9165,8,0.276,"RA:A2|SI:BG2,B2,B3|CX:C1,C2,C5|TOP:TG2,TG15,TG24,T4,T6"
62,16,4,2,3,7,0.9078,0.0257,0.9331,0.0274,0.9373,0.929,8,0.242,"RA:AG7,AG21,A3,A6|SI:BG2,B3|CX:CG3,C4,C5|TOP:TG2,TG9,TG15,TG21,T4,T5,T7"
38,18,3,3,4,8,0.909,0.0256,0.9329,0.0275,0.9373,0.9286,7,0.194,"RA:AG7,AG14,AG15|SI:BG2,B1,B3|CX:CG3,C1,C4,C5|TOP:TG2,TG8,TG13,TG15,TG21,TG24,T4,T5"
63,19,5,3,4,7,0.9109,0.0258,0.9328,0.0276,0.9373,0.9283,8,0.222,"RA:AG7,AG9,AG14,AG21,A3|SI:BG2,B1,B3|CX:CG3,C2,C4,C5|TOP:TG2,TG9,TG15,TG21,TG23,T4,T7"
44,12,1,3,3,5,0.8968,0.0302,0.9325,0.0316,0.9457,0.9196,8,0.276,"RA:A2|SI:BG2,B2,B3|CX:C1,C4,C5|TOP:TG2,TG11,TG15,T4,T5"
61,12,1,3,3,5,0.8973,0.0303,0.9323,0.0317,0.9457,0.9192,9,0.321,"RA:A2|SI:BG2,B3,B4|CX:C2,C4,C5|TOP:TG2,TG15,T4,T5,T7"
75,15,4,3,3,5,0.9116,0.0259,0.9317,0.0285,0.9373,0.9263,8,0.25,"RA:AG7,AG19,AG21,A3|SI:BG2,B2,B3|CX:CG3,C4,C5|TOP:TG2,TG15,T2,T4,T5"
77,16,5,3,3,5,0.9123,0.026,0.9316,0.0286,0.9373,0.9261,8,0.242,"RA:AG7,AG14,AG19,AG21,A3|SI:BG2,B2,B3|CX:CG3,C4,C5|TOP:TG2,TG15,T2,T4,T5"
0,22,5,2,5,10,0.913,0.0263,0.9309,0.0292,0.9373,0.9246,10,0.27,"RA:AG7,AG14,AG18,AG21,A3|SI:BG2,B3|CX:CG3,C1,C2,C4,C5|TOP:TG2,TG8,TG9,TG13,TG15,TG21,T2,T4,T5,T8"
60,14,2,3,3,6,0.9017,0.0286,0.9306,0.0314,0.9418,0.9197,8,0.258,"RA:AG14,A2|SI:BG2,B2,B3|CX:C1,C2,C5|TOP:TG2,TG11,TG15,TG24,T4,T8"
68,14,3,3,2,6,0.9023,0.0289,0.9301,0.0318,0.9418,0.9187,9,0.3,"RA:AG21,A2,A4|SI:BG2,B2,B3|CX:C1,C5|TOP:TG2,TG15,TG24,T4,T5,T8"
43,13,3,2,3,5,0.9038,0.029,0.9295,0.0323,0.9418,0.9175,8,0.267,"RA:AG21,A2,A4|SI:BG2,B3|CX:C1,C2,C5|TOP:TG2,TG15,TG24,T4,T8"
