base_id,n_rules,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,expert_coverage,rules
26,24,0.7809,0.0018,0.984,0.0008,0.9724,0.9959,1,0.024,0.056,G5(enum); G8(enum); G68(enum); G105(enum); G108(enum); G138(enum); G193(enum); G200(enum); G209(enum); G217(enum); G222(enum); G225(enum); G272(enum); G283(enum); G361(enum); G420(enum); G458(enum); G477(enum); G494(enum); G502(wm); G607(enum); G627(enum); G648(enum); R5
57,19,0.8559,0.0054,0.9838,0.0046,0.9901,0.9776,0,0.0,0.0,G5(enum); G56(enum); G68(enum); G106(enum); G108(enum); G131(enum); G136(enum); G138(enum); G193(enum); G204(enum); G225(enum); G354(enum); G400(enum); G456(enum); G458(enum); G477(enum); G510(enum); G607(enum); G614(enum)
29,22,0.8485,0.0042,0.9818,0.0051,0.9882,0.9755,0,0.0,0.0,G5(enum); G106(enum); G108(enum); G121(enum); G131(enum); G138(enum); G193(enum); G200(enum); G209(enum); G225(enum); G272(enum); G283(enum); G353(enum); G410(enum); G456(enum); G477(enum); G485(enum); G494(enum); G499(enum); G556(enum); G607(enum); G653(wm)
7,28,0.7986,0.0023,0.9816,0.001,0.9684,0.9951,1,0.022,0.056,G5(enum); G8(enum); G43(enum); G53(enum); G101(enum); G107(enum); G108(enum); G131(enum); G175(enum); G193(enum); G220(enum); G225(enum); G263(enum); G297(enum); G353(enum); G358(enum); G400(enum); G456(enum); G458(enum); G465(enum); G477(enum); G494(enum); G604(enum); G607(enum); G612(enum); G616(enum); G643(enum); R5
19,21,0.8804,0.0066,0.9778,0.0071,0.9901,0.9658,0,0.0,0.0,G5(enum); G106(enum); G108(enum); G131(enum); G136(enum); G138(enum); G193(enum); G204(enum); G209(enum); G228(enum); G354(enum); G400(enum); G456(enum); G477(enum); G499(enum); G532(enum); G556(enum); G607(enum); G614(enum); G621(enum); G627(enum)
15,19,0.8753,0.0069,0.9754,0.0082,0.9902,0.961,0,0.0,0.0,G5(enum); G106(enum); G108(enum); G121(enum); G131(enum); G138(enum); G193(enum); G200(enum); G209(enum); G272(enum); G353(enum); G456(enum); G477(enum); G499(enum); G510(enum); G523(enum); G556(enum); G607(enum); G653(wm)
21,23,0.8364,0.0032,0.9723,0.0023,0.9567,0.9884,0,0.0,0.0,G8(enum); G43(enum); G105(enum); G107(enum); G108(enum); G121(enum); G138(enum); G193(enum); G209(enum); G225(enum); G272(enum); G353(enum); G428(enum); G456(enum); G458(enum); G477(enum); G494(enum); G502(wm); G510(enum); G600(enum); G607(enum); G648(enum); G653(wm)
13,24,0.8813,0.0082,0.9677,0.0096,0.9815,0.9543,2,0.05,0.111,G5(enum); G43(enum); G90(enum); G106(enum); G108(enum); G131(enum); G138(enum); G193(enum); G228(enum); G239(enum); G272(enum); G287(enum); G294(enum); G351(enum); G400(enum); G453(enum); G460(enum); G477(enum); G494(enum); G499(enum); G504(wm); G607(enum); R4; R5
69,17,0.8689,0.0075,0.9647,0.0081,0.9689,0.9605,0,0.0,0.0,G5(enum); G106(enum); G108(enum); G124(enum); G131(enum); G136(enum); G138(enum); G193(enum); G209(enum); G228(enum); G354(enum); G400(enum); G456(enum); G477(enum); G510(enum); G607(enum); G627(enum)
25,25,0.8963,0.0099,0.9639,0.0137,0.9925,0.9368,0,0.0,0.0,G5(enum); G106(enum); G108(enum); G131(enum); G136(enum); G138(enum); G175(enum); G193(enum); G200(enum); G204(enum); G209(enum); G225(enum); G228(enum); G272(enum); G354(enum); G400(enum); G453(enum); G477(enum); G499(enum); G502(wm); G523(enum); G556(enum); G607(enum); G621(enum); G627(enum)
74,12,0.8582,0.0113,0.9628,0.0131,0.9876,0.9391,0,0.0,0.0,G43(enum); G56(enum); G108(enum); G131(enum); G193(enum); G225(enum); G356(enum); G458(enum); G494(enum); G502(wm); G504(wm); G607(enum)
41,27,0.8421,0.0033,0.9619,0.0023,0.9373,0.988,0,0.0,0.0,G8(enum); G107(enum); G108(enum); G111(enum); G136(enum); G138(enum); G175(enum); G193(enum); G204(enum); G209(enum); G213(enum); G225(enum); G228(enum); G272(enum); G354(enum); G400(enum); G448(wm); G453(enum); G458(enum); G477(enum); G502(wm); G510(enum); G523(enum); G600(enum); G607(enum); G621(enum); G627(enum)
72,20,0.8945,0.0111,0.9609,0.0149,0.9921,0.9315,1,0.027,0.056,G5(enum); G90(enum); G106(enum); G108(enum); G131(enum); G138(enum); G175(enum); G193(enum); G200(enum); G239(enum); G272(enum); G400(enum); G453(enum); G459(enum); G477(enum); G510(enum); G523(enum); G556(enum); G607(enum); R5
34,18,0.8365,0.004,0.9602,0.0041,0.9422,0.9789,2,0.059,0.111,G5(enum); G68(enum); G108(enum); G138(enum); G172(enum); G193(enum); G225(enum); G294(enum); G356(enum); G458(enum); G477(enum); G494(enum); G568(enum); G585(enum); G607(enum); G616(enum); R4; R5
24,23,0.8913,0.0103,0.9563,0.0151,0.9841,0.9301,1,0.025,0.056,G5(enum); G105(enum); G108(enum); G138(enum); G193(enum); G200(enum); G209(enum); G222(enum); G225(enum); G272(enum); G348(enum); G420(enum); G458(enum); G477(enum); G494(enum); G502(wm); G510(enum); G577(enum); G600(enum); G607(enum); G627(enum); G648(enum); R5
50,19,0.8178,0.0028,0.953,0.0016,0.9173,0.9916,1,0.028,0.056,G8(enum); G43(enum); G53(enum); G56(enum); G101(enum); G105(enum); G108(enum); G114(enum); G121(enum); G138(enum); G193(enum); G225(enum); G356(enum); G458(enum); G477(enum); G494(enum); G607(enum); G654(enum); R5
60,12,0.8669,0.0127,0.9527,0.0127,0.9662,0.9395,0,0.0,0.0,G108(enum); G131(enum); G136(enum); G193(enum); G217(enum); G384(enum); G477(enum); G499(enum); G539(enum); G556(enum); G585(enum); G607(enum)
58,13,0.8672,0.013,0.9511,0.0137,0.9676,0.9352,0,0.0,0.0,G48(enum); G108(enum); G131(enum); G136(enum); G193(enum); G217(enum); G384(enum); G477(enum); G499(enum); G539(enum); G556(enum); G585(enum); G607(enum)
47,15,0.7471,0.001,0.951,0.0001,0.9069,0.9996,2,0.065,0.111,G8(enum); G108(enum); G114(enum); G131(enum); G136(enum); G193(enum); G210(enum); G225(enum); G439(wm); G477(enum); G494(enum); G585(enum); G607(enum); R2; R10
48,12,0.8633,0.012,0.9509,0.0123,0.961,0.941,0,0.0,0.0,G108(enum); G131(enum); G193(enum); G228(enum); G390(enum); G400(enum); G458(enum); G477(enum); G494(enum); G504(wm); G607(enum); G616(enum)
30,20,0.841,0.0045,0.9502,0.0036,0.9211,0.9812,1,0.027,0.056,G5(enum); G42(enum); G108(enum); G122(enum); G138(enum); G193(enum); G272(enum); G294(enum); G351(enum); G356(enum); G400(enum); G453(enum); G458(enum); G477(enum); G494(enum); G495(enum); G499(enum); G607(enum); G616(enum); R5
63,20,0.8857,0.0096,0.9488,0.0134,0.9617,0.9362,0,0.0,0.0,G5(enum); G43(enum); G86(enum); G90(enum); G106(enum); G108(enum); G131(enum); G193(enum); G196(enum); G228(enum); G272(enum); G400(enum); G453(enum); G458(enum); G477(enum); G494(enum); G504(wm); G523(enum); G607(enum); G615(enum)
