base_id,n_rules,n_ra,n_si,n_cx,n_top,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,rules
64,15,6,3,2,4,0.7723,0.0027,0.9354,0.0015,0.8861,0.9904,8,0.25,"RA:AG1,AG8,AG11,A2,A5,A6|SI:BG2,BG8,B4|CX:C2,C5|TOP:TG18,TG25,T3,T5"
9,16,3,7,1,5,0.8556,0.0136,0.933,0.0098,0.9233,0.9429,10,0.323,"RA:AG8,AG9,A5|SI:BG4,BG7,B1,B2,B3,B4,B5|CX:C5|TOP:TG5,TG25,T2,T5,T7"
17,24,7,7,1,9,0.8493,0.0042,0.9298,0.0078,0.9075,0.9533,12,0.324,"RA:AG1,AG8,AG9,AG11,AG19,A5,A6|SI:BG2,BG4,BG7,B1,B2,B4,B5|CX:C5|TOP:TG5,TG18,TG19,TG25,T3,T4,T5,T6,T7"
20,22,9,5,3,5,0.8251,0.0037,0.9291,0.0055,0.895,0.966,8,0.205,"RA:AG1,AG9,AG11,AG13,AG16,AG21,AG28,A1,A6|SI:BG1,BG4,BG7,B3,B4|CX:CG3,C4,C5|TOP:TG19,TG22,TG24,T3,T4"
35,21,7,6,1,7,0.8438,0.0038,0.9284,0.0063,0.8975,0.9615,10,0.278,"RA:AG1,AG8,AG9,AG19,AG21,A3,A6|SI:BG4,BG7,B1,B2,B4,B5|CX:C5|TOP:TG5,TG8,TG18,TG19,T3,T6,T7"
26,15,5,3,3,4,0.7292,0.0013,0.926,0.0006,0.8652,0.996,9,0.29,"RA:AG1,AG11,A3,A4,A5|SI:BG2,BG8,B4|CX:C2,C4,C5|TOP:TG3,TG25,T3,T5"
72,16,8,4,2,2,0.8412,0.004,0.926,0.0075,0.8989,0.9547,7,0.206,"RA:AG1,AG9,AG10,AG11,AG19,A3,A5,A6|SI:BG4,BG7,B4,B5|CX:CG3,C5|TOP:TG5,T3"
76,20,7,6,1,6,0.8073,0.0031,0.9248,0.0033,0.8766,0.9787,9,0.25,"RA:AG1,AG3,AG11,AG19,AG27,A1,A4|SI:BG1,BG2,BG8,B2,B4,B5|CX:C5|TOP:TG5,TG18,TG25,T3,T4,T5"
14,28,9,5,5,9,0.7991,0.0028,0.9228,0.0019,0.8659,0.9877,14,0.359,"RA:AG1,AG13,AG19,AG24,AG25,A1,A2,A3,A5|SI:BG1,BG2,BG8,B2,B5|CX:CG1,CG3,C2,C4,C5|TOP:TG5,TG17,TG18,TG25,T2,T3,T4,T5,T8"
1,29,10,5,5,9,0.8007,0.0028,0.9226,0.002,0.8663,0.9868,14,0.35,"RA:AG1,AG15,AG19,AG24,AG25,AG29,A1,A2,A3,A5|SI:BG1,BG2,BG8,B2,B5|CX:CG1,CG3,C2,C4,C5|TOP:TG5,TG17,TG18,TG25,T2,T3,T4,T5,T8"
