base_id,n_rules,n_ra,n_si,n_cx,n_top,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,rules
3,15,3,3,4,5,0.9346,0.0339,0.7478,0.0261,0.6637,0.8562,7,0.212,"RA:AG3,AG9,A1|SI:BG6,B3,B4|CX:CG2,C3,C4,C5|TOP:TG2,TG9,TG15,TG18,T5"
37,16,5,3,3,5,0.9349,0.0339,0.7478,0.0261,0.6637,0.8562,6,0.171,"RA:AG3,AG9,AG19,AG23,A1|SI:BG6,B3,B4|CX:CG2,C4,C5|TOP:TG2,TG9,TG15,TG18,T5"
28,21,6,4,4,7,0.754,0.0015,0.6975,0.0009,0.5376,0.9929,13,0.394,"RA:AG1,AG9,A1,A2,A5,A6|SI:BG6,B2,B3,B4|CX:CG2,C3,C4,C5|TOP:TG2,TG3,TG9,TG22,T3,T5,T6"
14,20,6,4,3,7,0.7742,0.002,0.6956,0.0016,0.537,0.9874,11,0.324,"RA:AG1,AG9,AG16,AG23,A1,A2|SI:BG6,B1,B3,B4|CX:CG4,C4,C5|TOP:TG3,TG9,TG15,T2,T3,T4,T5"
13,22,7,4,3,8,0.7837,0.0024,0.6953,0.0019,0.5372,0.9855,13,0.382,"RA:AG1,AG9,AG17,AG23,A1,A2,A5|SI:BG6,B1,B3,B4|CX:CG2,C4,C5|TOP:TG3,TG9,TG15,T2,T3,T4,T5,T7"
52,14,3,5,3,3,0.8178,0.0024,0.6783,0.0011,0.5157,0.9907,8,0.258,"RA:AG1,AG26,A1|SI:BG4,BG6,B1,B4,B5|CX:CG2,C3,C5|TOP:TG4,T3,T4"
23,18,4,4,5,5,0.8197,0.0031,0.6773,0.0017,0.5158,0.9861,8,0.229,"RA:AG1,AG12,AG17,A1|SI:BG4,BG6,B4,B5|CX:CG2,CG3,C3,C4,C5|TOP:TG4,TG17,TG24,T3,T6"
20,15,2,4,6,3,0.8388,0.0038,0.676,0.0024,0.5157,0.9806,7,0.212,"RA:AG1,A1|SI:BG4,BG6,B4,B5|CX:CG1,CG2,CG3,C3,C4,C5|TOP:TG4,TG25,T3"
75,24,10,3,4,7,0.9181,0.019,0.6711,0.0149,0.5371,0.8941,12,0.324,"RA:AG1,AG5,AG6,AG9,AG24,AG25,A1,A2,A5,A6|SI:BG6,B3,B4|CX:CG2,C3,C4,C5|TOP:TG2,TG3,TG9,TG15,T2,T3,T5"
73,18,5,5,4,4,0.8564,0.0039,0.6703,0.0038,0.5122,0.9696,9,0.265,"RA:AG1,AG6,AG26,AG27,A1|SI:BG4,BG6,B2,B4,B5|CX:CG1,C3,C4,C5|TOP:TG17,TG25,T2,T3"
79,17,4,4,5,4,0.876,0.005,0.6687,0.0063,0.5157,0.9506,10,0.312,"RA:AG1,AG12,A1,A6|SI:BG4,BG6,B4,B5|CX:CG2,CG3,C3,C4,C5|TOP:TG4,T2,T3,T4"
63,12,3,4,2,3,0.8637,0.0041,0.6686,0.003,0.5087,0.9752,5,0.156,"RA:AG9,AG12,A1|SI:BG4,BG6,B4,B5|CX:CG2,C5|TOP:TG4,TG18,T3"
76,13,3,4,3,3,0.8777,0.0053,0.667,0.0072,0.5157,0.9437,7,0.226,"RA:AG1,AG17,A1|SI:BG4,BG6,B4,B5|CX:CG2,C3,C5|TOP:TG4,T2,T3"
5,13,1,4,3,5,0.878,0.0059,0.6666,0.0074,0.5157,0.9421,9,0.31,"RA:A1|SI:BG4,BG6,B4,B5|CX:CG3,C4,C5|TOP:TG4,T2,T3,T4,T5"
25,13,3,4,3,3,0.878,0.0059,0.6666,0.0074,0.5157,0.9421,6,0.188,"RA:AG1,AG17,A1|SI:BG4,BG6,B4,B5|CX:CG2,CG3,C5|TOP:TG4,T2,T3"
74,19,6,5,4,4,0.8852,0.0174,0.6663,0.0141,0.5296,0.8983,11,0.333,"RA:AG1,AG5,AG23,A1,A2,A5|SI:BG6,BG7,B1,B3,B4|CX:CG2,C3,C4,C5|TOP:TG18,TG24,T3,T5"
21,16,3,4,5,4,0.8678,0.0045,0.6638,0.0034,0.504,0.9717,7,0.206,"RA:AG9,AG12,A1|SI:BG4,BG6,B4,B5|CX:CG2,CG3,C3,C4,C5|TOP:TG4,TG17,TG18,T3"
16,13,5,3,2,3,0.8985,0.0182,0.6604,0.0139,0.5223,0.8978,6,0.188,"RA:AG1,AG5,AG9,AG15,AG16|SI:BG6,BG7,B3|CX:C4,C5|TOP:T3,T4,T5"
35,20,7,5,3,5,0.924,0.0266,0.6572,0.0222,0.5358,0.8497,8,0.216,"RA:AG1,AG5,AG8,AG9,AG19,AG25,A1|SI:BG2,BG6,BG7,B3,B4|CX:C3,C4,C5|TOP:TG3,TG9,TG22,T4,T5"
48,14,3,3,4,4,0.9232,0.0304,0.6542,0.0245,0.537,0.837,6,0.182,"RA:AG8,AG9,AG19|SI:BG6,BG7,B4|CX:CG2,C3,C4,C5|TOP:TG15,TG18,T4,T5"
38,15,4,4,3,4,0.9269,0.0286,0.653,0.0239,0.5341,0.8399,9,0.29,"RA:AG8,AG9,AG19,A5|SI:BG6,BG7,B3,B4|CX:C3,C4,C5|TOP:TG18,T4,T5,T8"
6,18,4,4,2,8,0.9104,0.0195,0.6487,0.015,0.5109,0.8885,10,0.303,"RA:AG1,AG5,AG16,A2|SI:BG6,BG7,B3,B4|CX:C3,C4|TOP:TG3,TG9,TG16,T1,T3,T4,T5,T8"
77,16,4,4,3,5,0.7213,0.0007,0.6443,0.0005,0.4762,0.996,10,0.323,"RA:AG1,A1,A2,A5|SI:BG6,BG7,B1,B4|CX:CG2,C4,C5|TOP:TG9,TG18,T3,T5,T7"
57,17,5,4,4,4,0.9098,0.0245,0.6421,0.0213,0.5157,0.8504,7,0.2,"RA:AG1,AG9,AG18,AG19,A1|SI:BG4,BG6,B4,B5|CX:CG3,CG4,C3,C5|TOP:TG4,TG25,T2,T3"
