base_id,n_rules,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,expert_coverage,rules
91,9,0.9755,0.0093,0.9763,0.0072,0.9719,0.9807,0,0.0,0.0,G26(enum); G81(enum); G112(enum); G263(enum); G272(enum); G292(enum); G306(enum); G367(enum); G496(enum)
0,9,0.9765,0.0099,0.975,0.0086,0.973,0.977,1,0.038,0.056,G26(enum); G81(enum); G84(enum); G214(enum); G272(enum); G330(enum); G367(enum); G396(enum); R7
73,8,0.9763,0.0105,0.9749,0.009,0.9738,0.976,1,0.04,0.056,G24(enum); G84(enum); G214(enum); G244(enum); G272(enum); G330(enum); G396(enum); R7
12,4,0.9735,0.0118,0.9734,0.0097,0.9726,0.9741,0,0.0,0.0,G26(enum); G84(enum); G86(enum); G188(enum)
66,5,0.9741,0.011,0.9724,0.01,0.9715,0.9733,0,0.0,0.0,G26(enum); G81(enum); G86(enum); G107(enum); G139(enum)
74,14,0.9734,0.0083,0.9722,0.0075,0.9648,0.9798,1,0.032,0.056,G26(enum); G52(enum); G84(enum); G181(enum); G214(enum); G272(enum); G276(enum); G305(enum); G330(enum); G367(enum); G396(enum); G482(enum); G576(wm); R7
25,16,0.9745,0.0091,0.972,0.0092,0.9685,0.9755,3,0.097,0.167,G26(enum); G112(enum); G129(enum); G140(enum); G208(enum); G272(enum); G306(enum); G317(enum); G330(enum); G367(enum); G396(enum); G401(enum); G539(enum); R6; R7; R18
109,4,0.9722,0.0098,0.9714,0.0092,0.9674,0.9754,0,0.0,0.0,G26(enum); G84(enum); G86(enum); G140(enum)
4,3,0.9719,0.0137,0.9707,0.0121,0.9734,0.9679,0,0.0,0.0,G26(enum); G84(enum); G86(enum)
42,3,0.9719,0.0137,0.9707,0.0121,0.9734,0.9679,0,0.0,0.0,G81(enum); G86(enum); G317(enum)
24,6,0.969,0.0088,0.9701,0.007,0.9595,0.9808,0,0.0,0.0,G81(enum); G84(enum); G244(enum); G272(enum); G330(enum); G396(enum)
45,17,0.9702,0.007,0.9701,0.0051,0.9546,0.9861,3,0.094,0.167,G81(enum); G84(enum); G112(enum); G113(enum); G185(enum); G208(enum); G272(enum); G278(enum); G299(enum); G302(enum); G317(enum); G330(enum); G396(enum); G496(enum); R7; R10; R18
32,5,0.9715,0.0096,0.9696,0.0087,0.9629,0.9764,0,0.0,0.0,G84(enum); G208(enum); G272(enum); G330(enum); G396(enum)
106,18,0.9711,0.0072,0.9694,0.0059,0.9554,0.9838,0,0.0,0.0,G24(enum); G70(enum); G84(enum); G113(enum); G181(enum); G208(enum); G222(enum); G236(enum); G272(enum); G311(enum); G317(enum); G325(enum); G367(enum); G396(enum); G455(enum); G464(enum); G470(enum); G496(enum)
114,19,0.9701,0.0064,0.9682,0.0058,0.9528,0.9841,0,0.0,0.0,G30(enum); G43(enum); G84(enum); G102(enum); G113(enum); G163(enum); G181(enum); G208(enum); G222(enum); G236(enum); G243(enum); G272(enum); G302(enum); G317(enum); G396(enum); G404(enum); G496(enum); G539(enum); G571(enum)
