base_id,n_rules,expert_in_base,jaccard,expert_coverage
0,9,1,0.038,0.056
1,1,0,0.000,0.000
2,1,0,0.000,0.000
3,28,3,0.070,0.167
4,3,0,0.000,0.000
5,1,0,0.000,0.000
6,1,0,0.000,0.000
7,1,0,0.000,0.000
8,3,0,0.000,0.000
9,2,0,0.000,0.000
10,2,0,0.000,0.000
11,5,0,0.000,0.000
12,4,0,0.000,0.000
13,22,2,0.053,0.111
14,26,1,0.023,0.056
15,1,0,0.000,0.000
16,8,1,0.040,0.056
17,10,1,0.037,0.056
18,15,1,0.031,0.056
19,17,0,0.000,0.000
20,12,1,0.034,0.056
21,7,0,0.000,0.000
22,13,1,0.033,0.056
23,21,0,0.000,0.000
24,6,0,0.000,0.000
25,16,3,0.097,0.167
26,18,1,0.029,0.056
27,19,3,0.088,0.167
28,19,1,0.028,0.056
29,9,1,0.038,0.056
30,4,0,0.000,0.000
31,20,4,0.118,0.222
32,5,0,0.000,0.000
33,11,2,0.074,0.111
34,28,2,0.045,0.111
35,10,1,0.037,0.056
36,23,3,0.079,0.167
37,12,0,0.000,0.000
38,11,1,0.036,0.056
39,7,1,0.042,0.056
40,16,2,0.062,0.111
41,23,4,0.108,0.222
42,3,0,0.000,0.000
43,8,1,0.040,0.056
44,14,1,0.032,0.056
45,17,3,0.094,0.167
46,6,1,0.043,0.056
47,24,3,0.077,0.167
48,25,2,0.049,0.111
49,15,0,0.000,0.000
50,13,1,0.033,0.056
51,27,3,0.071,0.167
52,2,0,0.000,0.000
53,20,2,0.056,0.111
54,27,2,0.047,0.111
55,18,3,0.091,0.167
56,24,1,0.024,0.056
57,14,1,0.032,0.056
58,25,3,0.075,0.167
59,21,2,0.054,0.111
60,8,0,0.000,0.000
61,2,0,0.000,0.000
62,2,0,0.000,0.000
63,4,0,0.000,0.000
64,2,0,0.000,0.000
65,5,0,0.000,0.000
66,5,0,0.000,0.000
67,3,0,0.000,0.000
68,10,1,0.037,0.056
69,5,0,0.000,0.000
70,7,0,0.000,0.000
71,4,0,0.000,0.000
72,4,0,0.000,0.000
73,8,1,0.040,0.056
74,14,1,0.032,0.056
75,9,1,0.038,0.056
76,9,1,0.038,0.056
77,2,0,0.000,0.000
78,2,0,0.000,0.000
79,13,0,0.000,0.000
80,13,1,0.033,0.056
81,5,0,0.000,0.000
82,10,0,0.000,0.000
83,3,0,0.000,0.000
84,2,0,0.000,0.000
85,3,0,0.000,0.000
86,4,0,0.000,0.000
87,2,0,0.000,0.000
88,4,1,0.048,0.056
89,9,0,0.000,0.000
90,4,0,0.000,0.000
91,9,0,0.000,0.000
92,12,1,0.034,0.056
93,8,1,0.040,0.056
94,5,0,0.000,0.000
95,13,1,0.033,0.056
96,6,0,0.000,0.000
97,23,1,0.025,0.056
98,5,0,0.000,0.000
99,13,1,0.033,0.056
100,8,1,0.040,0.056
101,10,0,0.000,0.000
102,11,0,0.000,0.000
103,18,1,0.029,0.056
104,2,0,0.000,0.000
105,5,0,0.000,0.000
106,18,0,0.000,0.000
107,4,0,0.000,0.000
108,3,1,0.050,0.056
109,4,0,0.000,0.000
110,7,0,0.000,0.000
111,10,2,0.077,0.111
112,9,1,0.038,0.056
113,6,0,0.000,0.000
114,19,0,0.000,0.000
115,11,1,0.036,0.056
116,10,0,0.000,0.000
117,10,1,0.037,0.056
118,7,0,0.000,0.000
119,8,0,0.000,0.000
