base_id,n_rules,f1_train,fpr_train,f1_test,fpr_test,recall_test,precision_test,expert_rules_included,jaccard_vs_expert,expert_coverage,rules
20,18,0.8178,0.0011,0.8162,0.001,0.6921,0.9946,0,0.0,0.0,G1(enum); G88(enum); G94(enum); G106(enum); G116(enum); G140(enum); G179(enum); G217(enum); G225(enum); G252(enum); G315(enum); G358(enum); G420(enum); G426(enum); G508(enum); G519(enum); G610(enum); G642(enum)
97,17,0.8142,0.001,0.814,0.001,0.6889,0.9946,0,0.0,0.0,G1(enum); G68(enum); G94(enum); G116(enum); G128(enum); G140(enum); G212(enum); G252(enum); G254(enum); G265(enum); G358(enum); G473(enum); G509(enum); G516(enum); G519(enum); G572(enum); G610(enum)
115,16,0.8132,0.001,0.812,0.0009,0.6856,0.9954,0,0.0,0.0,G1(enum); G116(enum); G128(enum); G132(enum); G140(enum); G212(enum); G217(enum); G252(enum); G336(enum); G473(enum); G495(enum); G509(enum); G516(enum); G545(enum); G572(enum); G610(enum)
129,12,0.8108,0.001,0.8105,0.001,0.684,0.9945,0,0.0,0.0,G1(enum); G94(enum); G116(enum); G128(enum); G140(enum); G252(enum); G254(enum); G265(enum); G275(enum); G516(enum); G519(enum); G564(enum)
86,16,0.8095,0.0009,0.8083,0.0012,0.6812,0.9938,0,0.0,0.0,G1(enum); G94(enum); G116(enum); G140(enum); G179(enum); G217(enum); G235(enum); G252(enum); G315(enum); G358(enum); G420(enum); G426(enum); G508(enum); G519(enum); G610(enum); G642(enum)
105,16,0.8045,0.0009,0.8035,0.001,0.674,0.9947,0,0.0,0.0,G1(enum); G94(enum); G116(enum); G140(enum); G179(enum); G217(enum); G225(enum); G252(enum); G315(enum); G358(enum); G420(enum); G426(enum); G508(enum); G519(enum); G610(enum); G642(enum)
95,15,0.8044,0.0009,0.8033,0.0011,0.6741,0.9939,0,0.0,0.0,G1(enum); G94(enum); G116(enum); G140(enum); G179(enum); G217(enum); G235(enum); G252(enum); G315(enum); G358(enum); G420(enum); G426(enum); G508(enum); G519(enum); G642(enum)
70,15,0.7993,0.0009,0.7984,0.001,0.6668,0.9948,0,0.0,0.0,G1(enum); G94(enum); G116(enum); G140(enum); G179(enum); G217(enum); G225(enum); G252(enum); G315(enum); G358(enum); G420(enum); G426(enum); G508(enum); G519(enum); G642(enum)
119,19,0.7959,0.0007,0.796,0.0009,0.6633,0.995,0,0.0,0.0,G1(enum); G94(enum); G140(enum); G197(enum); G224(enum); G229(enum); G252(enum); G265(enum); G275(enum); G296(enum); G315(enum); G367(enum); G420(enum); G495(enum); G516(enum); G519(enum); G522(enum); G564(enum); G652(enum)
102,14,0.7951,0.0008,0.7945,0.0008,0.6611,0.9954,0,0.0,0.0,G1(enum); G94(enum); G116(enum); G140(enum); G179(enum); G217(enum); G252(enum); G315(enum); G358(enum); G420(enum); G426(enum); G508(enum); G519(enum); G642(enum)
